Paramètre,Description,Exemple, 
geoserverURL,URL du geoserver contenant les données cartographiques du contexte Tabou2, /geoserver,
layersCfg,Groupe de paramètres généraux des couches OA, PA et SA,
layerPA,Groupe de paramètres de la couche PA,
layerOA,Groupe de paramètres de la couche OA,
layerSA,Groupe de paramètres de la couche SA,
nom,Nom de la couche programme le geoserver tel que **workspace:title**, app:tabou_v_oa_programme,
geomField,Nom du champ contenant la géométrie, shape,
idField,Nom du champ contenant l'id de la couche, objectid,
idType,Type du champ de l'identifiant, number,
searchCfg,Groupe de paramètres pour l'outil de recherche par filtes Tabou2 (onglet Rechercher),
